price range|price|address|locality|postalCode|beds|bathes|cars|link
600000-650000|Contact Agent|25/497-507 Pacific Highway|Killara|2071|2|1|1|http://www.realestate.com.au/property-apartment-nsw-killara-121913330
500000-550000|from $560,000|443-445 Pacific Highway|Asquith|2077|3|2|1|http://www.realestate.com.au/property-apartment-nsw-asquith-120661337
500000-550000|Price $580K-$600K|14/12 Hope Street|Rosehill|2142|2|2|1|http://www.realestate.com.au/property-apartment-nsw-rosehill-123912546
450000-500000|From $519,000 - $549,000|5 Donald St|Yennora|2161|4|2|2|http://www.realestate.com.au/property-house-nsw-yennora-123282298
350000-400000|$445,000-$465,000||Pendle Hill|2145|2|1|1|http://www.realestate.com.au/property-unit-nsw-pendle+hill-124065118
650000-700000|$660,000|8/17 Kirkham Rd|Auburn|2144|3|3|2|http://www.realestate.com.au/property-townhouse-nsw-auburn-124242150
450000-500000|offers invited|4/25-27 Lane Street|Wentworthville|2145|3|1|1|http://www.realestate.com.au/property-unit-nsw-wentworthville-123924850
600000-650000|Contact Agent|13-15 Neil Street|Merrylands|2160|2|2|1|http://www.realestate.com.au/property-apartment-nsw-merrylands-122913390
600000-650000|Price Guide $675,000 - $695,000|4/151 Blaxcell St|Granville|2142|3|2|2|http://www.realestate.com.au/property-townhouse-nsw-granville-124249414
650000-700000|$750,000- $800,000|9A John Street|Granville|2142|4|1|1|http://www.realestate.com.au/property-house-nsw-granville-124047362
550000-600000|Price guide $575,000 - $625,000|5/16 Belmore Street|Ryde|2112|2|1|1|http://www.realestate.com.au/property-apartment-nsw-ryde-124185674
550000-600000|$549000|Block-C35-43 Toongabbie Road|Toongabbie|2146|2|2|1|http://www.realestate.com.au/property-unit-nsw-toongabbie-122419162
600000-650000|JUST LISTED|101 19-21 Good Street|Parramatta|2150|2|2|1|http://www.realestate.com.au/property-unit-nsw-parramatta-124257686
600000-650000|$645,000|3/6 Raymond Lane|Parramatta|2150|2|2|1|http://www.realestate.com.au/property-unit-nsw-parramatta-123009942
550000-600000|$620,000 - $650,000|Unit 4/16 Highland Avenue|Toongabbie|2146|2|2|1|http://www.realestate.com.au/property-townhouse-nsw-toongabbie-124205414
600000-650000|FOR SALE $630,000-$660,000|4/10 Blair Street|Gladesville|2111|2|1|1|http://www.realestate.com.au/property-unit-nsw-gladesville-124289394
550000-600000|$598,000|15/176 South Pde|Auburn|2144|2|2|1|http://www.realestate.com.au/property-apartment-nsw-auburn-122311486
650000-700000|$655,000|12 East St|Granville|2142|2|2|1|http://www.realestate.com.au/property-apartment-nsw-granville-123700686
550000-600000|$587,000 to $619,000|14 Civic Avenue|Pendle Hill|2145|2|1|1|http://www.realestate.com.au/property-apartment-nsw-pendle+hill-122693634
650000-700000|$698,000||Parramatta|2150|2|2|2|http://www.realestate.com.au/property-apartment-nsw-parramatta-122265270
450000-500000|Price Guide $475,000 - $515,000|4/57-59 Lane Street|Wentworthville|2145|2|1|1|http://www.realestate.com.au/property-unit-nsw-wentworthville-124162014
650000-700000|$695,000|18/208-214 Parramatta Road|Homebush|2140|2|2|1|http://www.realestate.com.au/property-apartment-nsw-homebush-123902894
600000-650000|Contact Agent|G10/81-86 Courallie Avenue|Homebush West|2140|2|2|1|http://www.realestate.com.au/property-apartment-nsw-homebush+west-123800278
400000-450000|$420,000 - $450,000|27/2-4 Kane Street|Guildford|2161|2|1|1|http://www.realestate.com.au/property-unit-nsw-guildford-123602442
550000-600000|$570,000||Wentworthville|2145|2|2|1|http://www.realestate.com.au/property-apartment-nsw-wentworthville-123195638
600000-650000|$638,000 to $651,000|32-34 Marian Street|Guildford|2161|3|2|2|http://www.realestate.com.au/property-apartment-nsw-guildford-123662346
500000-550000|$550,000 to $580,000|4/61-63 Lane Street|Wentworthville|2145|3|1|1|http://www.realestate.com.au/property-unit-nsw-wentworthville-124053858
400000-450000|$459,000|4/136 Woodville Road|Merrylands|2160|2|2|1|http://www.realestate.com.au/property-apartment-nsw-merrylands-122965306
650000-700000|Contact Agent|209/46-50 Dunmore Street|Wentworthville|2145|2|2|1|http://www.realestate.com.au/property-apartment-nsw-wentworthville-119324628
500000-550000|For Sale|22-30 Station Rd|Auburn|2144|2|2|1|http://www.realestate.com.au/property-apartment-nsw-auburn-123157282
450000-500000|Price Guide $499,000|16M/15 Campbell Street|Parramatta|2150|2|1|1|http://www.realestate.com.au/property-apartment-nsw-parramatta-123931310
650000-700000|$670,000|1/260 Liverpool Road|Enfield|2136|2|2|1|http://www.realestate.com.au/property-unit-nsw-enfield-121927842
550000-600000|$585,000-$625,000|11/19-21 Marsden Street|Granville|2142|2|1|1|http://www.realestate.com.au/property-apartment-nsw-granville-124235294
550000-600000|Urgent Sale $599,000|9/11-17 Hevington Rd|Auburn|2144|3|2|2|http://www.realestate.com.au/property-unit-nsw-auburn-124103966
450000-500000|$540,000|8/538-540 Woodville Road|Guildford|2161|2|1|1|http://www.realestate.com.au/property-unit-nsw-guildford-123802450
350000-400000|UNDER CONTRACT|74-78 St Hilliers Road|Auburn|2144|2|1|2|http://www.realestate.com.au/property-apartment-nsw-auburn-119065859
600000-650000|$630,000|3/17 Meadow Crescent|Meadowbank|2114|2|1|1|http://www.realestate.com.au/property-unit-nsw-meadowbank-124090178
650000-700000|Auction|9/85-89 Wentworth Road|Strathfield|2135|2|1|1|http://www.realestate.com.au/property-apartment-nsw-strathfield-124176962
500000-550000|$518,000|30/45 Rawson|Auburn|2144|2|1|1|http://www.realestate.com.au/property-apartment-nsw-auburn-119972849
300000-350000|$435,000|1/59 St Ann Street|Merrylands|2160|2|1|1|http://www.realestate.com.au/property-unit-nsw-merrylands-120602809
550000-600000|Contact Agent|8/206-208 Burnett Street|Mays Hill|2145|3|2|2|http://www.realestate.com.au/property-apartment-nsw-mays+hill-121175738
