price range|price|address|locality|postalCode|beds|bathes|cars|link
450000-500000|From $665,000|139-141 Jersey Street North|Asquith|2077|2|2|1|http://www.realestate.com.au/property-apartment-nsw-asquith-122722070
550000-600000|Contact Agent|6/97-99 Stapleton St|Pendle Hill|2145|2|2|1|http://www.realestate.com.au/property-apartment-nsw-pendle+hill-122039426
550000-600000|$649,000|4/511 Woodville Road (enter through Lough Avenue & Lough Lane)|Guildford|2161|4|2|2|http://www.realestate.com.au/property-townhouse-nsw-guildford-123892250
550000-600000|Price guide $ 570,000 - $600,000|7/81-83 Merrylands Road|Merrylands|2160|2|2|1|http://www.realestate.com.au/property-apartment-nsw-merrylands-123550790
550000-600000|AUCTION|1/11-11A Ellis Street|Merrylands|2160|3|2|1|http://www.realestate.com.au/property-townhouse-nsw-merrylands-124182574
650000-700000|$669,999 to $699,000|16/17-21 KIRKHAM ROAD|Auburn|2144|3|1|1|http://www.realestate.com.au/property-townhouse-nsw-auburn-122171558
650000-700000|SOLD||Parramatta|2150|2|2|1|http://www.realestate.com.au/property-unit-nsw-parramatta-119086191
550000-600000|Contact Agent|15/97-99 Stapleton St|Pendle Hill|2145|2|2|1|http://www.realestate.com.au/property-apartment-nsw-pendle+hill-122039482
500000-550000|$550,000|Unit 9/272-276 Railway Terrace|Guildford|2161|2|1|1|http://www.realestate.com.au/property-apartment-nsw-guildford-123514418
400000-450000|$415,000|7/42 Dartbrook Rd|Auburn|2144|2|1|1|http://www.realestate.com.au/property-flat-nsw-auburn-122364734
500000-550000|$529,000|44/68-70 Courallie Ave|Homebush West|2140|2|1|1|http://www.realestate.com.au/property-apartment-nsw-homebush+west-122453462
600000-650000|UNDER CONTRACT|15/34-38 KERRS ROAD|Lidcombe|2141|2|1|1|http://www.realestate.com.au/property-unit-nsw-lidcombe-123359038
550000-600000|INSPECT NOW||Merrylands|2160|2|2|1|http://www.realestate.com.au/property-unit-nsw-merrylands-124187862
350000-400000|$420,000 - $460,000|5/33-35 Crown Street|Granville|2142|2|1|1|http://www.realestate.com.au/property-unit-nsw-granville-124250710
650000-700000|Price guide $630,000 - $680,000|5/8 Water Street|Hornsby|2077|2|2|1|http://www.realestate.com.au/property-apartment-nsw-hornsby-124089418
450000-500000|$509,000|2/22 Helen Street|Westmead|2145|2|1|1|http://www.realestate.com.au/property-apartment-nsw-westmead-124065202
650000-700000|UNDER CONTRACT!|E203/2 Latham Terrace|Newington|2127|2|2|1|http://www.realestate.com.au/property-apartment-nsw-newington-123306538
550000-600000|$699,000|3/7a Pitt Street|Parramatta|2150|3|2|1|http://www.realestate.com.au/property-apartment-nsw-parramatta-124149058
650000-700000|Contact Agent|607/53 Hill Road|Wentworth Point|2127|2|2|1|http://www.realestate.com.au/property-apartment-nsw-wentworth+point-124057210
650000-700000|$689,000|89-93 Wentworth Ave|Wentworthville|2145|3|2|1|http://www.realestate.com.au/property-apartment-nsw-wentworthville-123852150
600000-650000|Auction In-Rooms 17 Dec  5pm (if not sold prior)|16/1304 Pacific Highway|Turramurra|2074|2|1|1|http://www.realestate.com.au/property-apartment-nsw-turramurra-123861810
650000-700000|$688,000|903/22 Charles Street|Parramatta|2150|2|2|1|http://www.realestate.com.au/property-apartment-nsw-parramatta-123852162
650000-700000|$679,000|12/15-17 Enid Ave|Granville|2142|2|2|1|http://www.realestate.com.au/property-apartment-nsw-granville-123715358
600000-650000|$641,000|12 East St|Granville|2142|2|2|1|http://www.realestate.com.au/property-apartment-nsw-granville-123700730
650000-700000|$720,000|7 Valencia Crescent|Toongabbie|2146|3|1|1|http://www.realestate.com.au/property-house-nsw-toongabbie-124016666
650000-700000|$760,000-$800,000|82 Farnell Street|Merrylands|2160|3|1|1|http://www.realestate.com.au/property-house-nsw-merrylands-123706638
450000-500000|1st stage sold out, register for 2nd stage|14 Childs st|Lidcombe|2141|2|2|1|http://www.realestate.com.au/property-unit-nsw-lidcombe-121863682
600000-650000|$640,000 - $670,000|403/12-16 Romsey Street|Waitara|2077|2|2|1|http://www.realestate.com.au/property-apartment-nsw-waitara-124091898
550000-600000|Contact Agent|12/97-99 Stapleton St|Pendle Hill|2145|2|2|1|http://www.realestate.com.au/property-apartment-nsw-pendle+hill-122039470
550000-600000|Asking Price $585,000|20/364 Pennant Hills Road|Carlingford|2118|2|1|1|http://www.realestate.com.au/property-apartment-nsw-carlingford-123773522
600000-650000|UNDER CONTRACT|88/27 Bennelong Parkway|Wentworth Point|2127|2|1|1|http://www.realestate.com.au/property-apartment-nsw-wentworth+point-123555642
650000-700000|Expressions of interest closing 09/12/2016|73/2 Purser Avenue|Castle Hill|2154|2|2|1|http://www.realestate.com.au/property-apartment-nsw-castle+hill-123985394
450000-500000|$519,000-$549,000|3/158-160 Station Street|Wentworthville|2145|2|1|1|http://www.realestate.com.au/property-townhouse-nsw-wentworthville-123355578
650000-700000|$699,000|G13/81-86 Courallie Ave|Homebush West|2140|3|2|1|http://www.realestate.com.au/property-apartment-nsw-homebush+west-123755238
600000-650000|EOI Now, Coming Soon|14-16 Burbang Crescent|Rydalmere|2116|2|2|1|http://www.realestate.com.au/property-apartment-nsw-rydalmere-123783442
650000-700000|$678,000|48/15 Young Rd|Carlingford|2118|2|2|2|http://www.realestate.com.au/property-apartment-nsw-carlingford-124285110
500000-550000|206-208 Burnett Street Mays Hill|206 Burnett Street|Mays Hill|2145|2|1|1|http://www.realestate.com.au/property-apartment-nsw-mays+hill-123674002
500000-550000|UNDER CONTRACT|5/15-19 Early Street|Parramatta|2150|2|1|1|http://www.realestate.com.au/property-unit-nsw-parramatta-124177094
650000-700000|$659,000|5/5 Garden Street|Telopea|2117|3|1|1|http://www.realestate.com.au/property-unit-nsw-telopea-124150534
450000-500000|$500,000 - $550,000|4/490 Merrylands Road|Merrylands|2160|3|1|1|http://www.realestate.com.au/property-unit-nsw-merrylands-124146150
600000-650000|$635,000|11-15 Robilliard Street|Mays Hill|2145|2|2|1|http://www.realestate.com.au/property-apartment-nsw-mays+hill-123334966
600000-650000|$629,950|C208 17 Hanna Street|Potts Hill|2143|2|2|1|http://www.realestate.com.au/property-unit-nsw-potts+hill-124057290
500000-550000|Guide $525,000 - $555,000|10/130 Station Street|Wentworthville|2145|2|2|1|http://www.realestate.com.au/property-apartment-nsw-wentworthville-124191266
650000-700000|$685,000|19/278-282 Railway Terrace|Guildford|2161|3|2|2|http://www.realestate.com.au/property-apartment-nsw-guildford-123804874
650000-700000|$700,000 - $750,000|68/2 Porter Street|Ryde|2112|2|2|1|http://www.realestate.com.au/property-apartment-nsw-ryde-123718514
650000-700000|$650,000 - $690,000|83/459 Church St|Parramatta|2150|2|2|1|http://www.realestate.com.au/property-apartment-nsw-parramatta-122804818
500000-550000|$525,000 to $560,000|20/56-60 Marlborough Road|Homebush West|2140|2|1|1|http://www.realestate.com.au/property-unit-nsw-homebush+west-123138342
500000-550000|Price guide $490,000 - $530,000|7/89 Anzac Avenue|West Ryde|2114|2|1|1|http://www.realestate.com.au/property-apartment-nsw-west+ryde-124284242
650000-700000|0||||0|0|0|http://www.realestate.com.au/project-skypoint-nsw-lidcombe-600014422?numBeds=2
650000-700000|Contact Agent|18/538-540 Woodville Road|Guildford|2161|3|2|2|http://www.realestate.com.au/property-apartment-nsw-guildford-119228259
600000-650000|$699,000|G15 / 78 Marlborough Rd|Homebush West|2140|2|2|1|http://www.realestate.com.au/property-apartment-nsw-homebush+west-120418937
550000-600000|$599,000|Unit 10/272-276 Railway Tce|Guildford|2161|3|2|2|http://www.realestate.com.au/property-apartment-nsw-guildford-120129449
650000-700000|Contact Agent|21-39 Balmoral Ave|Waitara|2077|2|2|1|http://www.realestate.com.au/property-apartment-nsw-waitara-122515278
450000-500000|$499,000|10/22B Macquarie Road|Auburn|2144|3|1|1|http://www.realestate.com.au/property-unit-nsw-auburn-123985850
500000-550000|$530,000|3/135-137 Pitt Street|Merrylands|2160|2|2|1|http://www.realestate.com.au/property-unit-nsw-merrylands-122476918
650000-700000|$699,990|10/34-36 Girraween Road|Girraween|2145|3|3|1|http://www.realestate.com.au/property-townhouse-nsw-girraween-122443786?listingType=buy
600000-650000|Price guide $620,000 - $640,000|105/25 Orara Street|Waitara|2077|2|2|1|http://www.realestate.com.au/property-apartment-nsw-waitara-123885290
650000-700000|contact agent|755 Pacific Highway|Chatswood|2067|2|2|1|http://www.realestate.com.au/property-apartment-nsw-chatswood-113877291
550000-600000|Contact Agent|D510/81 Courallie Avenue|Homebush West|2140|2|2|1|http://www.realestate.com.au/property-apartment-nsw-homebush+west-123558442
600000-650000|Contact Agent||Parramatta|2150|2|2|1|http://www.realestate.com.au/property-apartment-nsw-parramatta-123346470
550000-600000|Price guide $600K|C-72/13-19 Pastoral Circuit|Pemulwuy|2145|2|2|1|http://www.realestate.com.au/property-apartment-nsw-pemulwuy-123592214
550000-600000|Under contract|Building N - G08/81- Courallie Ave|Homebush West|2140|2|2|1|http://www.realestate.com.au/property-apartment-nsw-homebush+west-123869858
650000-700000|$709,950-$739,950|9/30-32 Brickfield Street|North Parramatta|2151|3|2|1|http://www.realestate.com.au/property-apartment-nsw-north+parramatta-124139154
650000-700000|Contact The Agent|1-6/1 Budgeree Road|Toongabbie|2146|3|2|2|http://www.realestate.com.au/property-townhouse-nsw-toongabbie-123294238
450000-500000|$510,000|27 - 33 Addlestone Road|Merrylands|2160|2|2|1|http://www.realestate.com.au/property-unit-nsw-merrylands-123654186
500000-550000|$499,000-585,000|1-32/11-15 Peggy Street|Mays Hill|2145|2|2|1|http://www.realestate.com.au/property-unit-nsw-mays+hill-123241586
600000-650000|$620,000|5/278-282 Railway Terrace|Guildford|2161|2|3|1|http://www.realestate.com.au/property-apartment-nsw-guildford-124102770
650000-700000|Off The Plan|27-29 Burwood Road|Burwood|2134|2|2|1|http://www.realestate.com.au/property-apartment-nsw-burwood-119541515
600000-650000|Closest to the station||Toongabbie|2146|3|2|1|http://www.realestate.com.au/property-apartment-nsw-toongabbie-123764670
650000-700000|$715,500|18 Maunder Avenue|Girraween|2145|3|1|1|http://www.realestate.com.au/property-house-nsw-girraween-123738682
650000-700000|$730,000-$760,000|B411.16 Savona Drive|Wentworth Point|2127|2|2|1|http://www.realestate.com.au/property-apartment-nsw-wentworth+point-122986310
500000-550000|UNDER CONTRACT|5/182 Orchardleigh Street|Old Guildford|2161|2|1|1|http://www.realestate.com.au/property-villa-nsw-old+guildford-121603034
550000-600000|For Sale $585,000 - $609,000|33/298-312 Pennant Hills Road|Pennant Hills|2120|2|2|1|http://www.realestate.com.au/property-apartment-nsw-pennant+hills-124134110
600000-650000|From $769,000||Epping|2121|2|2|1|http://www.realestate.com.au/property-apartment-nsw-epping-116896287
550000-600000|$599,000|5/78 Pitt Street|Granville|2142|2|1|1|http://www.realestate.com.au/property-unit-nsw-granville-120976374
450000-500000|$509,000|45/195-199 William St|Granville|2142|2|2|1|http://www.realestate.com.au/property-house-nsw-granville-123566954
550000-600000|$580,000|97-99 Stapleton St|Pendle Hill|2145|2|2|1|http://www.realestate.com.au/property-apartment-nsw-pendle+hill-123991842
650000-700000|Price List Upon Request|1 Budgeree Road|Toongabbie|2146|3|2|1|http://www.realestate.com.au/property-townhouse-nsw-toongabbie-122303378
600000-650000|$639,000|14/23-33 Napier St|Parramatta|2150|2|2|1|http://www.realestate.com.au/property-apartment-nsw-parramatta-121162834
550000-600000|Auction|3/2B Coleman Avenue|Carlingford|2118|2|2|1|http://www.realestate.com.au/property-unit-nsw-carlingford-124102242
450000-500000|$549,000|44/35-37 Darcy Road|Westmead|2145|2|2|1|http://www.realestate.com.au/property-apartment-nsw-westmead-123997134
550000-600000|Under Contract|3/9-15 Lloyds Ave|Carlingford|2118|2|2|1|http://www.realestate.com.au/property-unit-nsw-carlingford-123757830
350000-400000|480000-510000|2/79 LANE STREET|Wentworthville|2145|2|1|2|http://www.realestate.com.au/property-apartment-nsw-wentworthville-124079306
650000-700000|$675,000 – $685,000||Granville|2142|2|2|1|http://www.realestate.com.au/property-apartment-nsw-granville-123610510
550000-600000|Deposit Taken|9-11 WIGRAM STREET|Harris Park|2150|2|1|1|http://www.realestate.com.au/property-unit-nsw-harris+park-101807715
600000-650000|CONTACT AGENT|49/40-42 Jenner Street|Baulkham Hills|2153|2|2|2|http://www.realestate.com.au/property-apartment-nsw-baulkham+hills-123917662
550000-600000|Contact Agent|8/530 Liverpool Road|Strathfield South|2136|2|2|2|http://www.realestate.com.au/property-apartment-nsw-strathfield+south-120188205
450000-500000|$479,000|5/39 Harrow Road|Auburn|2144|3|1|1|http://www.realestate.com.au/property-unit-nsw-auburn-124068310
650000-700000|$675000|25/21-25 Seven Hills Road|Baulkham Hills|2153|2|2|2|http://www.realestate.com.au/property-apartment-nsw-baulkham+hills-122736190
500000-550000|$508,000|11/13-21 Great Western Highway|Parramatta|2150|2|1|1|http://www.realestate.com.au/property-unit-nsw-parramatta-122620418
500000-550000|JUST LISTED|45/18 Sorrell Street|Parramatta|2150|2|1|1|http://www.realestate.com.au/property-apartment-nsw-parramatta-124106986
550000-600000|$589,000|110/89-93 Wentworth Ave|Wentworthville|2145|2|2|1|http://www.realestate.com.au/property-apartment-nsw-wentworthville-123608794
650000-700000|Price Guide I $739,000|315/1 Lucinda Ave|Kellyville|2155|2|2|2|http://www.realestate.com.au/property-apartment-nsw-kellyville-123820346
400000-450000|Price Guide $470,000 - $490,000|10/2-6 Goodall Street|Pendle Hill|2145|2|2|1|http://www.realestate.com.au/property-unit-nsw-pendle+hill-124236682
600000-650000|$649,950|C207 17 Hanna Street|Potts Hill|2143|2|2|1|http://www.realestate.com.au/property-unit-nsw-potts+hill-124057314
500000-550000|$530,000|7/176 South Parade|Auburn|2144|2|2|1|http://www.realestate.com.au/property-apartment-nsw-auburn-123900430
550000-600000|$630,000|415/81-86 Courallie Ave|Homebush West|2140|2|2|1|http://www.realestate.com.au/property-apartment-nsw-homebush+west-123027950
550000-600000|Contact Agent|2/12-12A Post Office Street|Carlingford|2118|2|2|1|http://www.realestate.com.au/property-apartment-nsw-carlingford-123069382
500000-550000|$545,000|35/1 Good Street|Parramatta|2150|2|1|1|http://www.realestate.com.au/property-apartment-nsw-parramatta-124087742
400000-450000|$409,000|4/66 Dartbrook Road|Auburn|2144|2|1|1|http://www.realestate.com.au/property-unit-nsw-auburn-122615962
650000-700000|Under Offer|707/5 Verona Drive|Wentworth Point|2127|2|2|1|http://www.realestate.com.au/property-apartment-nsw-wentworth+point-123701374
650000-700000|$700,000 - $730,000|B201/35-39 Balmoral St|Waitara|2077|2|2|1|http://www.realestate.com.au/property-apartment-nsw-waitara-123110746
650000-700000|$679,000|73 Deakin Street|Silverwater|2128|3|2|1|http://www.realestate.com.au/property-apartment-nsw-silverwater-123809186
450000-500000|$495,000 - $515,000|53/88 James Ruse Drive|Rosehill|2142|2|1|1|http://www.realestate.com.au/property-apartment-nsw-rosehill-122468682
650000-700000|0||||0|0|0|http://www.realestate.com.au/project-promenade-nsw-parramatta-600005175?numBeds=2
500000-550000|$499,000 - $525,000|19/124 Gurney Road|Chester Hill|2162|2|1|1|http://www.realestate.com.au/property-house-nsw-chester+hill-123915714
550000-600000|By Negotiation|7/217-219 William Street|Granville|2142|2|1|1|http://www.realestate.com.au/property-unit-nsw-granville-123044698
650000-700000|$725,000|32-36 underwood Road|Homebush|2140|2|2|1|http://www.realestate.com.au/property-apartment-nsw-homebush-122764074
450000-500000|Price Guide I $569,000 - $599,000|67/54-62 Nijong Drive|Pemulwuy|2145|2|2|1|http://www.realestate.com.au/property-apartment-nsw-pemulwuy-124180218
400000-450000|$438,000|10/71 Dartbrook Rd|Auburn|2144|2|1|1|http://www.realestate.com.au/property-unit-nsw-auburn-123120942
650000-700000|$695,000|21 Sorrell Street|Parramatta|2150|2|2|1|http://www.realestate.com.au/property-apartment-nsw-parramatta-123500530
650000-700000|$690,000|404-416 Windsor Rd|Baulkham Hills|2153|2|2|1|http://www.realestate.com.au/property-apartment-nsw-baulkham+hills-123702854
450000-500000|$535,000 to $565,000|7/48 St Hilliers Road|Auburn|2144|2|2|1|http://www.realestate.com.au/property-unit-nsw-auburn-123605470
500000-550000|Under Contract|8/11 Clader Rd|Rydalmere|2116|2|2|1|http://www.realestate.com.au/property-apartment-nsw-rydalmere-123459246
600000-650000|Contact Agent|4/4 Gaza Road|West Ryde|2114|2|1|1|http://www.realestate.com.au/property-unit-nsw-west+ryde-124075922
550000-600000|DEPOSIT TAKEN!|Building A G02/81-8 Courallie Ave|Homebush West|2140|2|2|1|http://www.realestate.com.au/property-apartment-nsw-homebush+west-123911214
550000-600000|Asking price $648,000|7/32-38 Jenner St|Baulkham Hills|2153|2|1|1|http://www.realestate.com.au/property-unit-nsw-baulkham+hills-124142458
650000-700000|Contact Agent|Deposit Taken/13 Hassall Street|Parramatta|2150|2|2|1|http://www.realestate.com.au/property-apartment-nsw-parramatta-121380546
450000-500000|Price Guide $525,000 - $550,000|8/201-203 William Street|Granville|2142|2|2|1|http://www.realestate.com.au/property-unit-nsw-granville-124054586
500000-550000|Price range $549,000-$599,000|5/14 Stimson Street|Guildford|2161|2|2|1|http://www.realestate.com.au/property-apartment-nsw-guildford-123889534
550000-600000|$579,500|12/9-11 Priddle Street|Westmead|2145|2|1|1|http://www.realestate.com.au/property-unit-nsw-westmead-123566186
650000-700000|CONTACT AGENT||Parramatta|2150|3|2|2|http://www.realestate.com.au/property-apartment-nsw-parramatta-117910875
500000-550000|Contact Agent|17/18 Eastbourne Road|Homebush West|2140|2|1|1|http://www.realestate.com.au/property-apartment-nsw-homebush+west-123158318
550000-600000|$600,000 - $625,000|29/2 Bellbrook Avenue|Hornsby|2077|2|2|1|http://www.realestate.com.au/property-unit-nsw-hornsby-124040630
500000-550000|$855,000|10-12 Lords Avenue|Asquith|2077|3|2|2|http://www.realestate.com.au/property-apartment-nsw-asquith-122057066
600000-650000|$705,000|7A / 2 - 6 Belair Close|Hornsby|2077|2|2|1|http://www.realestate.com.au/property-apartment-nsw-hornsby-124010574
550000-600000|$595,000 to $625,000|12-14 Belinda Place|Mays Hill|2145|2|2|1|http://www.realestate.com.au/property-apartment-nsw-mays+hill-123695522
450000-500000|$510,000 - $540,000|15/136 Bridge Road|Westmead|2145|2|1|2|http://www.realestate.com.au/property-apartment-nsw-westmead-124046442
450000-500000|$480,000|7/61 Macquarie Rd|Auburn|2144|2|1|1|http://www.realestate.com.au/property-unit-nsw-auburn-124290310
450000-500000|Auction This Saturday 1:30pm on Site|8/31-33 Harrow Rd|Auburn|2144|2|2|2|http://www.realestate.com.au/property-unit-nsw-auburn-123992962
450000-500000|$489,000|7/29 Neil Street|Merrylands|2160|2|1|1|http://www.realestate.com.au/property-unit-nsw-merrylands-124071598
600000-650000|OFF THE PLAN|1 - 8/2 Elonera Street|Rydalmere|2116|3|2|1|http://www.realestate.com.au/property-unit-nsw-rydalmere-124259458
600000-650000|$689,000|Apartment 2 501/1a  Moreton Street|Parramatta|2150|2|2|1|http://www.realestate.com.au/property-apartment-nsw-parramatta-123566570
500000-550000|$529,000-$549,000|37/79-87 Beaconsfield Street|Silverwater|2128|2|1|1|http://www.realestate.com.au/property-apartment-nsw-silverwater-123915926
600000-650000|NEW PROJECT NOW SELLING|172 South Parade|Auburn|2144|2|2|1|http://www.realestate.com.au/property-apartment-nsw-auburn-123976470
600000-650000|$620,000 - $650,000|E315/81-86 Courallie Avenue|Homebush West|2140|2|2|1|http://www.realestate.com.au/property-unit-nsw-homebush+west-123936206
450000-500000|Around $500,000|2/19 Station Street|Dundas|2117|2|1|1|http://www.realestate.com.au/property-unit-nsw-dundas-124089714
550000-600000|Contact Agent|10/97-99 Stapleton St|Pendle Hill|2145|2|2|1|http://www.realestate.com.au/property-apartment-nsw-pendle+hill-122039458
650000-700000|offers over $688000|49 Station Rd|Auburn|2144|3|3|1|http://www.realestate.com.au/property-townhouse-nsw-auburn-119795903
600000-650000|$630,000 - $650,000|2/15-23 Orara Street|Waitara|2077|2|2|1|http://www.realestate.com.au/property-apartment-nsw-waitara-124014610
400000-450000|Buy Off The Plan & Save|1-32/422-428 Guildford Road|Guildford|2161|2|1|1|http://www.realestate.com.au/property-apartment-nsw-guildford-124258838
600000-650000|Contact Agent|5/127-129 Jersey Street|Asquith|2077|2|2|1|http://www.realestate.com.au/property-apartment-nsw-asquith-123428822
550000-600000|$650,000|3 Weston Street|Rosehill|2142|2|2|1|http://www.realestate.com.au/property-apartment-nsw-rosehill-124094898
450000-500000|Auction|11/63 Stapleton Street|Pendle Hill|2145|3|2|1|http://www.realestate.com.au/property-unit-nsw-pendle+hill-123985198
450000-500000|$459,000|1/21 Station Rd|Auburn|2144|2|1|1|http://www.realestate.com.au/property-flat-nsw-auburn-122987974
650000-700000|Vendor Invites Offers|12/16-20 Mercer Street|Castle Hill|2154|2|2|2|http://www.realestate.com.au/property-unit-nsw-castle+hill-123799226
550000-600000|FOR SALE $701,000|35/11-15 Hunter Street|Parramatta|2150|2|2|1|http://www.realestate.com.au/property-apartment-nsw-parramatta-123491686
550000-600000|$595,000|111/89-93 Wentworth Avenue|Wentworthville|2145|2|2|1|http://www.realestate.com.au/property-apartment-nsw-wentworthville-123909326
600000-650000|$610,000|8/2-4 Belinda Place|Mays Hill|2145|2|2|1|http://www.realestate.com.au/property-apartment-nsw-mays+hill-124018950
400000-450000|UNDER CONTRACT|14/436 Guildford Road|Guildford|2161|3|1|1|http://www.realestate.com.au/property-unit-nsw-guildford-123855222
450000-500000|Contact Agent|9/14-20 Elizabeth Street|Parramatta|2150|2|1|2|http://www.realestate.com.au/property-unit-nsw-parramatta-122987050
650000-700000|For Sale Call Agent 0414 732 826|18/24-36 Pacific Highway|Wahroonga|2076|2|2|1|http://www.realestate.com.au/property-townhouse-nsw-wahroonga-124116434
550000-600000|5% Rental Guarantee! Call for other incentives!!|16 Simpson St|Auburn|2144|2|1|1|http://www.realestate.com.au/property-unit-nsw-auburn-121838050
400000-450000|Price Guide $455,000 - $495,000|1/10-14 Arthur Street|Merrylands|2160|2|1|1|http://www.realestate.com.au/property-unit-nsw-merrylands-124288610
650000-700000|$679,999|12/9 Magnolia St|Greystanes|2145|3|2|2|http://www.realestate.com.au/property-townhouse-nsw-greystanes-123863042
600000-650000|$612,000|64-72  River Road|Ermington|2115|2|2|1|http://www.realestate.com.au/property-apartment-nsw-ermington-124073394
550000-600000|$589,950-$619,950|24/45-55 Virginia Street|Rosehill|2142|2|2|1|http://www.realestate.com.au/property-apartment-nsw-rosehill-124128094
650000-700000|$660,000|39/35-39 Fontenoy Road|Macquarie Park|2113|2|1|1|http://www.realestate.com.au/property-unit-nsw-macquarie+park-121657258
650000-700000|"SOLD | Christian Leung"|11/9-13 Endeavour Street|West Ryde|2114|2|1|1|http://www.realestate.com.au/property-apartment-nsw-west+ryde-123987126
500000-550000|JUST LISTED !!|17/41-43 Veron Street|Wentworthville|2145|2|2|1|http://www.realestate.com.au/property-unit-nsw-wentworthville-123885806
450000-500000|Contact Agent|22-30 Station Road|Auburn|2144|2|2|1|http://www.realestate.com.au/property-apartment-nsw-auburn-119416899
650000-700000|Auction|9/85 Wentworth Road|Burwood|2134|2|1|1|http://www.realestate.com.au/property-apartment-nsw-burwood-124275922
600000-650000|Contact Agent|22-30 Station Street|Auburn|2144|2|2|1|http://www.realestate.com.au/property-apartment-nsw-auburn-122930614
550000-600000|$585,000|11/277 Park rd|Auburn|2144|3|1|1|http://www.realestate.com.au/property-townhouse-nsw-auburn-123013294
600000-650000|$680,000 - $720,000|70/20 Victoria Road|Parramatta|2150|2|2|1|http://www.realestate.com.au/property-apartment-nsw-parramatta-123741546
550000-600000|Brand New|10-18 Meryll Avenue|Baulkham Hills|2153|2|2|2|http://www.realestate.com.au/property-apartment-nsw-baulkham+hills-123322226
500000-550000|Contact Agent|3/3A Byer Street|Enfield|2136|2|1|1|http://www.realestate.com.au/property-apartment-nsw-enfield-123927970
650000-700000|Contact Agent|37/76-84 Railway Terrace|Merrylands|2160|3|2|1|http://www.realestate.com.au/property-apartment-nsw-merrylands-123956546
550000-600000|$570,000 - $610,000|2/9 Marion Street|Auburn|2144|3|2|1|http://www.realestate.com.au/property-apartment-nsw-auburn-123801922
500000-550000|0||||0|0|0|http://www.realestate.com.au/project-myriad+apartments-nsw-merrylands-600014378?numBeds=2
550000-600000|Contact Agent|18/97-99 Stapleton St|Pendle Hill|2145|2|2|1|http://www.realestate.com.au/property-apartment-nsw-pendle+hill-122039494
500000-550000|$609,000|207/1-5 Weston St|Rosehill|2142|2|2|1|http://www.realestate.com.au/property-apartment-nsw-rosehill-124011702
500000-550000|$515,000|24/518-522  WOODVILLE ROAD|Guildford|2161|2|2|1|http://www.realestate.com.au/property-apartment-nsw-guildford-123690094
450000-500000|AUCTION|55/59-61 Good Street|Westmead|2145|2|2|1|http://www.realestate.com.au/property-unit-nsw-westmead-124107702
450000-500000|$530K-$550K|2/64 Brixton Road|Berala|2141|2|1|1|http://www.realestate.com.au/property-unit-nsw-berala-123075950
650000-700000|Price guide $660,000 - $720,000|113/5 Beresford Road|Strathfield|2135|2|2|2|http://www.realestate.com.au/property-apartment-nsw-strathfield-124076718
650000-700000|Contact Agent|133 - 149 Samantha Riley Drive|Kellyville|2155|3|2|2|http://www.realestate.com.au/property-apartment-nsw-kellyville-121634818
550000-600000|Contact Agent|25/29-33 Darcy Road|Westmead|2145|2|2|1|http://www.realestate.com.au/property-apartment-nsw-westmead-123999174
550000-600000|Contact Agent|9/97-99 Stapleton St|Pendle Hill|2145|2|2|1|http://www.realestate.com.au/property-apartment-nsw-pendle+hill-122039450
550000-600000|AUCTION Saturday 10th December 2016 Onsite at 2pm|8/21 May Street|Eastwood|2122|2|1|1|http://www.realestate.com.au/property-apartment-nsw-eastwood-124108886
550000-600000|For Sale|1/17 Manson Street|Telopea|2117|2|2|1|http://www.realestate.com.au/property-apartment-nsw-telopea-123287334
650000-700000|$699,950-$739,950|13/31-35 Isabella Street|North Parramatta|2151|3|2|2|http://www.realestate.com.au/property-unit-nsw-north+parramatta-123995198
650000-700000|CONTACT AGENT|168/6-14 Park Road|Auburn|2144|2|2|1|http://www.realestate.com.au/property-unit-nsw-auburn-123174162
650000-700000|Contact Agent|9-11 Forest Grove|Epping|2121|3|2|2|http://www.realestate.com.au/property-apartment-nsw-epping-120446573
650000-700000|Contact Agent||Homebush|2140|2|2|1|http://www.realestate.com.au/property-apartment-nsw-homebush-124288598
650000-700000|$690,000 - $775,000|24/9 Hill Street|Baulkham Hills|2153|3|2|2|http://www.realestate.com.au/property-apartment-nsw-baulkham+hills-124200758
550000-600000|ONLY 2 LEFT PRICED TO SALE|294-302 Pennant Hills Road|Carlingford|2118|2|2|1|http://www.realestate.com.au/property-apartment-nsw-carlingford-123334218
650000-700000|$620,000|Unit 32/102-104 Railway Terrace|Merrylands|2160|3|2|1|http://www.realestate.com.au/property-apartment-nsw-merrylands-123047986
600000-650000|$640,000|4/49 Macquarie Road|Auburn|2144|3|2|1|http://www.realestate.com.au/property-apartment-nsw-auburn-124035514
550000-600000|$589,000|14 Civic Avenue|Pendle Hill|2145|2|2|1|http://www.realestate.com.au/property-apartment-nsw-pendle+hill-123702314
650000-700000|Price Guide $670,000 - $720,000|17/54 Keeler Street|Carlingford|2118|2|2|1|http://www.realestate.com.au/property-apartment-nsw-carlingford-123908978
600000-650000|Price Guide: $590,000 - $630,000|4/10-14 Crane Street|Homebush|2140|2|1|1|http://www.realestate.com.au/property-apartment-nsw-homebush-124128762
650000-700000|$760,000|4 /14 QUEEN STREET|Auburn|2144|3|1|1|http://www.realestate.com.au/property-house-nsw-auburn-124250998
550000-600000|From $650,000|8-12 Good Street|Westmead|2145|2|2|1|http://www.realestate.com.au/property-apartment-nsw-westmead-122959970
